Town,Ceremonial county,Status,Link
Abingdon-on-Thames,Oxfordshire,town council1,/wiki/Abingdon-on-Thames
Accrington,Lancashire,borough (1878–1974),/wiki/Accrington
Acle,Norfolk,market charter,/wiki/Acle
Acton,Greater London,borough (1921–1965),"/wiki/Acton,_London"
Adlington,Lancashire,town council1,"/wiki/Adlington,_Lancashire"
Alcester,Warwickshire,town council,/wiki/Alcester
Aldeburgh,Suffolk,town council1,/wiki/Aldeburgh
Aldershot,Hampshire,borough (1922–1974),/wiki/Aldershot
Alford,Lincolnshire,town council1,"/wiki/Alford,_Lincolnshire"
Alfreton,Derbyshire,town council,/wiki/Alfreton
Alnwick,Northumberland,town council1,/wiki/Alnwick
Alsager,Cheshire,town council1,/wiki/Alsager
Alston,Cumbria,market charter,"/wiki/Alston,_Cumbria"
Alton,Hampshire,town council1,"/wiki/Alton,_Hampshire"
Altrincham,Greater Manchester,borough (1937–1974),/wiki/Altrincham
Amble,Northumberland,town council1,/wiki/Amble
Ambleside,Cumbria,market charter,/wiki/Ambleside
Amersham,Buckinghamshire,town council,/wiki/Amersham
Amesbury,Wiltshire,town council,/wiki/Amesbury
Ampthill,Bedfordshire,town council1,/wiki/Ampthill
Andover,Hampshire,borough (1835–1974),"/wiki/Andover,_Hampshire"
Appleby-in-Westmorland,Cumbria,town council1,/wiki/Appleby-in-Westmorland
Arlesey,Bedfordshire,town council,/wiki/Arlesey
Arundel,West Sussex,town council1,/wiki/Arundel
Ashbourne,Derbyshire,town council1,"/wiki/Ashbourne,_Derbyshire"
Ashburton,Devon,town council1,"/wiki/Ashburton,_Devon"
Ashby-de-la-Zouch,Leicestershire,town council1,/wiki/Ashby-de-la-Zouch
Ashby Woulds,Leicestershire,town council1,/wiki/Ashby_Woulds
Ashford,Kent,market charter,"/wiki/Ashford,_Kent"
Ashington,Northumberland,town council,/wiki/Ashington
Ashton-under-Lyne,Greater Manchester,borough (1847–1974),/wiki/Ashton-under-Lyne
Askern,South Yorkshire,town council,/wiki/Askern
Aspatria,Cumbria,town council,/wiki/Aspatria
Atherstone,Warwickshire,town council,/wiki/Atherstone
Attleborough,Norfolk,town council,/wiki/Attleborough
Axbridge,Somerset,town council,/wiki/Axbridge
Axminster,Devon,town council,/wiki/Axminster
Aylesbury,Buckinghamshire,town council,/wiki/Aylesbury
Aylsham,Norfolk,town council,/wiki/Aylsham
Bacup,Lancashire,borough (1883–1974),/wiki/Bacup
Bakewell,Derbyshire,town council1,/wiki/Bakewell
Bampton,Devon,town council,"/wiki/Bampton,_Devon"
Banbury,Oxfordshire,town council,/wiki/Banbury
Barking,Greater London,borough (1931–1965),/wiki/Barking
Barnard Castle,Durham,town council1,/wiki/Barnard_Castle
Barnes,Greater London,borough (1932–1965),"/wiki/Barnes,_London"
Barnet,Greater London,market charter,/wiki/Chipping_Barnet
Barnoldswick,Lancashire,town council,/wiki/Barnoldswick
Barnsley,South Yorkshire,borough (1869–1974),/wiki/Barnsley
Barnstaple,Devon,town council1,/wiki/Barnstaple
Barrow-in-Furness,Cumbria,borough (1867–1974),/wiki/Barrow-in-Furness
Barton-upon-Humber,Lincolnshire,town council1,/wiki/Barton-upon-Humber
Basingstoke,Hampshire,borough (1835–1974),/wiki/Basingstoke
Batley,West Yorkshire,borough (1868–1974),/wiki/Batley
Battle,East Sussex,town council,"/wiki/Battle,_East_Sussex"
Bawtry,South Yorkshire,town council,/wiki/Bawtry
Beaconsfield,Buckinghamshire,town council1,/wiki/Beaconsfield
Beaminster,Dorset,town council,/wiki/Beaminster
Bebington,Merseyside,borough (1937–1974),/wiki/Bebington
Beccles,Suffolk,town council1,/wiki/Beccles
Beckenham,Greater London,borough (1935–1965),/wiki/Beckenham
Bedale,North Yorkshire,town council,/wiki/Bedale
Bedford,Bedfordshire,borough (1835–1974),/wiki/Bedford
Bedworth,Warwickshire,market charter,/wiki/Bedworth
Belper,Derbyshire,town council1,/wiki/Belper
Bentham,North Yorkshire,town council,"/wiki/Bentham,_North_Yorkshire"
Berkeley,Gloucestershire,town council,"/wiki/Berkeley,_Gloucestershire"
